City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
Castellón de la Plana,Spain,19.48,55.57,3.75,54200.00,34.28,42.11,9.38,23.53,34.56,9.92,2.67,176298.00,26.67,69100.00,28.66
Catania,Italy,17.33,64.99,5.91,53500.00,17.72,48.52,8.20,34.60,39.80,4.86,2.28,293458.00,5.35,110500.00,27.31
Cergy-Pontoise,France,21.31,71.19,5.56,62800.00,34.71,19.30,15.23,43.59,27.24,4.73,16.62,192809.00,31.48,88600.00,12.24
Charleroi,Belgium,16.58,50.00,5.02,57500.00,16.30,43.89,18.85,30.46,24.05,4.96,13.93,204150.00,35.56,87200.00,16.30
Chatham,United Kingdom,16.07,73.39,3.94,47600.00,23.48,35.52,11.33,35.41,34.63,5.68,9.00,263925.00,32.31,82800.00,9.25
Chemnitz,Germany,27.75,75.34,5.56,39200.00,34.43,4.89,14.76,57.69,26.91,5.37,12.60,243248.00,25.21,141600.00,10.60
Clermont-Ferrand,France,19.28,65.54,8.41,54200.00,34.66,18.06,12.28,43.93,28.29,6.70,47.16,281605.00,33.46,155100.00,12.70
Cologne,Germany,34.78,71.34,37.37,57700.00,33.93,20.62,10.63,47.92,27.95,3.48,18.56,1007119.00,23.15,647200.00,7.64
Copenhagen,Denmark,28.38,72.05,44.87,59100.00,40.53,17.56,6.06,35.72,29.54,4.24,28.51,1209627.00,31.79,759900.00,5.37
Coventry,United Kingdom,23.12,68.12,6.15,42900.00,29.24,33.52,11.66,29.50,29.20,2.85,26.27,316960.00,33.17,143400.00,9.43
Crawley,United Kingdom,29.49,79.72,3.58,44000.00,25.44,33.50,7.58,31.55,49.15,1.94,9.48,106597.00,11.85,81400.00,5.68
Córdoba,Spain,19.47,54.14,5.20,49000.00,37.18,43.05,7.83,19.54,34.49,13.73,0.39,328326.00,24.48,106100.00,28.64
Czestochowa,Poland,11.99,55.08,2.37,31600.00,6.49,27.71,35.51,60.73,22.24,4.77,0.11,235798.00,25.50,74800.00,12.86
Darmstadt,Germany,28.39,75.28,7.22,60100.00,41.36,12.65,16.15,49.39,23.15,2.41,77.11,144402.00,29.98,120100.00,4.95
Debrecen,Hungary,15.73,60.11,2.78,33300.00,30.70,11.87,16.49,57.43,30.94,7.56,1.68,211320.00,29.28,83500.00,13.04
Derby,United Kingdom,21.07,72.36,5.97,49600.00,30.24,32.47,18.12,30.85,29.02,3.51,44.24,248752.00,28.27,120300.00,9.26
Dijon,France,18.07,68.86,7.19,52200.00,35.88,17.33,10.47,43.29,27.93,7.12,14.22,244941.00,36.41,137700.00,11.75
Doncaster,United Kingdom,14.52,65.05,4.25,38100.00,20.65,40.01,10.16,33.69,36.88,6.66,1.74,302402.00,31.78,111500.00,12.51
Dortmund,Germany,24.92,68.17,14.39,48800.00,22.75,20.09,10.39,58.83,33.23,5.26,19.96,580444.00,26.21,294600.00,10.32
Dos Hermanas,Spain,11.97,56.90,1.56,50400.00,31.01,47.79,17.27,21.04,43.20,13.24,1.10,128433.00,14.32,30900.00,23.83
Douai,France,12.82,59.93,2.96,51300.00,22.03,25.22,18.67,51.18,23.51,7.06,5.07,151968.00,37.94,57700.00,18.15
Dresden,Germany,26.73,74.65,12.63,42800.00,44.30,3.83,11.16,50.91,27.68,5.36,30.87,523058.00,29.04,294800.00,8.71
Düsseldorf,Germany,36.99,72.13,31.84,66100.00,35.01,18.04,9.90,48.54,28.55,2.80,32.44,588735.00,21.78,482000.00,7.18
Dublin,Ireland,29.95,65.80,50.04,86100.00,42.56,22.37,7.74,31.09,30.24,3.80,9.66,1261332.00,28.26,581000.00,14.90
Duisburg,Germany,19.94,69.49,12.33,57900.00,16.39,26.08,19.47,57.56,30.13,5.16,12.74,489559.00,25.29,213100.00,10.86
Dundee,United Kingdom,15.07,68.12,2.99,40400.00,30.52,46.65,6.91,22.83,30.67,5.51,7.83,147268.00,41.84,74000.00,11.08
Dunkerque,France,13.36,60.18,4.38,52000.00,21.60,26.30,22.21,51.04,23.70,7.18,5.84,195161.00,33.54,84100.00,18.48
Edinburgh,United Kingdom,36.98,72.46,16.13,50500.00,50.39,30.40,3.25,19.22,27.75,2.85,10.60,476626.00,29.16,319500.00,6.72
Eindhoven,Netherlands,35.19,72.93,9.38,58500.00,43.26,22.46,12.43,35.77,21.49,2.98,251.63,216036.00,27.92,160200.00,5.36
Elche,Spain,16.12,62.43,3.06,50700.00,22.02,58.46,17.19,19.46,46.50,9.87,1.33,227417.00,10.33,60300.00,21.61
Enschede,Netherlands,23.92,69.80,3.67,46300.00,29.59,27.22,10.76,36.69,24.55,2.77,15.97,157838.00,38.00,79300.00,6.25
Erfurt,Germany,32.66,73.64,5.41,38900.00,37.58,6.70,8.92,60.02,26.62,5.54,12.41,204994.00,26.33,139000.00,8.88
Essen,Germany,30.47,69.28,17.95,59500.00,26.39,19.12,10.33,56.62,27.86,5.66,19.45,574635.00,25.64,301900.00,9.73
Europ' Essonne (Massy),France,27.26,76.22,4.65,69000.00,39.01,17.54,12.50,41.21,31.30,7.13,45.69,134577.00,21.81,67300.00,9.18
